Date	ca	fr	ge	it	jp	uk	us
1/1/03	560.099	902.081	724.932	290.187	1593.175	791.076	824.583
1/2/03	574.701	927.206	768.15	296.963	1578.214	797.813	852.219
1/3/03	580.212	929.297	768.411	298.757	1578.411	800.175	851.935
1/6/03	589.619	943.002	788.164	303.273	1619.7	803.966	871.515
1/7/03	585.822	923.785	774.054	297.892	1590.951	793.625	865.992
1/8/03	576.522	900.435	742.414	293.791	1564.566	783.566	853.401
1/9/03	584.049	923.589	759.251	299.526	1569.706	789.255	869.893
1/10/03	590.395	927.235	763.505	299.719	1565.966	798.244	870.275
1/13/03	593.748	928.45	770.37	301.314	1573.799	792.042	869.034
1/14/03	595.279	934.252	782.326	302.462	1599.104	793.344	874.638
1/15/03	595.393	922.489	770.978	299.921	1619.822	779.75	861.946
1/16/03	597.099	921.971	771.547	301.223	1620.413	779.596	858.343
1/17/03	591.288	905.119	743.769	294.109	1627.923	772.871	846.057
1/20/03	590.027	894.897	738.637	290.459	1607.091	760.017	846.057
1/21/03	584.8	886.164	732.892	286.526	1622.186	752.112	833.025
1/22/03	587.696	869.289	717.048	282.995	1608.26	742.283	824.615
1/23/03	592.169	868.373	723.415	283.229	1643.821	735.885	833.194
1/24/03	586.711	865.395	702.221	281.717	1629.401	735.892	808.82
1/27/03	575.65	834.257	683.843	277.059	1592.634	711.505	795.459
1/28/03	574.174	835.955	690.809	277.782	1580.393	716.291	805.931
1/29/03	578.307	850.819	701.922	281.956	1557.454	718.871	811.521
1/30/03	573.581	866.411	692.103	284.22	1543.313	737.556	792.925
1/31/03	575.135	871.914	705.34	285.791	1528.492	734.775	803.601
2/3/03	582.233	878.593	706.888	288.582	1549.967	756.252	807.778
2/4/03	578.428	861.338	685.234	284.073	1567.614	739.922	796.194
2/5/03	575.389	863.016	705.9	287.546	1569.649	756.82	791.849
2/6/03	572.179	848.645	686.838	284.052	1560.523	737.688	786.882
2/7/03	571.451	834.851	665.879	283.811	1552.521	734.229	778.848
2/10/03	566.33	823.769	667.326	281.517	1547.428	729.434	784.78
2/11/03	567.998	840.746	674.246	287.51	1542.648	742.009	778.138
2/12/03	566.787	820.786	660.441	285.354	1569.867	730.818	767.906
2/13/03	569.289	823.643	662.117	287.21	1568.992	731.746	766.601
2/14/03	572.674	842.098	689.257	290.096	1580.428	728.121	782.949
2/17/03	579.967	854.688	693.658	291.235	1589.858	738.21	782.949
2/18/03	583.739	869.782	698.886	293.875	1593.498	741.799	798.812
2/19/03	581.868	850.946	673.969	289.396	1594.08	729.364	793.311
2/20/03	585.721	842.477	671.118	290.668	1591.286	734.61	785.739
